Epoch [1/200], Train Loss: 0.6882, Train Accuracy: 0.5000, Valid Loss: 0.7335, Valid Accuracy: 0.2097
Epoch [2/200], Train Loss: 0.6725, Train Accuracy: 0.5867, Valid Loss: 0.6498, Valid Accuracy: 0.7742
Epoch [3/200], Train Loss: 0.6623, Train Accuracy: 0.6480, Valid Loss: 0.6644, Valid Accuracy: 0.6613
Epoch [4/200], Train Loss: 0.6536, Train Accuracy: 0.6760, Valid Loss: 0.6702, Valid Accuracy: 0.6129
Epoch [5/200], Train Loss: 0.6467, Train Accuracy: 0.6403, Valid Loss: 0.6516, Valid Accuracy: 0.6613
Epoch [6/200], Train Loss: 0.6373, Train Accuracy: 0.6837, Valid Loss: 0.6884, Valid Accuracy: 0.4839
Epoch [7/200], Train Loss: 0.6320, Train Accuracy: 0.6913, Valid Loss: 0.6519, Valid Accuracy: 0.6452
Epoch [8/200], Train Loss: 0.6260, Train Accuracy: 0.6658, Valid Loss: 0.7013, Valid Accuracy: 0.4516
Epoch [9/200], Train Loss: 0.6192, Train Accuracy: 0.7015, Valid Loss: 0.6429, Valid Accuracy: 0.6613
Epoch [10/200], Train Loss: 0.6127, Train Accuracy: 0.7041, Valid Loss: 0.6754, Valid Accuracy: 0.5484
Epoch [11/200], Train Loss: 0.6091, Train Accuracy: 0.7041, Valid Loss: 0.6798, Valid Accuracy: 0.5484
Epoch [12/200], Train Loss: 0.6008, Train Accuracy: 0.7092, Valid Loss: 0.6512, Valid Accuracy: 0.5968
Epoch [13/200], Train Loss: 0.5999, Train Accuracy: 0.7092, Valid Loss: 0.6915, Valid Accuracy: 0.4677
Epoch [14/200], Train Loss: 0.5947, Train Accuracy: 0.7092, Valid Loss: 0.6196, Valid Accuracy: 0.6935
Epoch [15/200], Train Loss: 0.5895, Train Accuracy: 0.7219, Valid Loss: 0.6922, Valid Accuracy: 0.4839
Epoch [16/200], Train Loss: 0.5840, Train Accuracy: 0.7117, Valid Loss: 0.6448, Valid Accuracy: 0.5968
Epoch [17/200], Train Loss: 0.5745, Train Accuracy: 0.7423, Valid Loss: 0.6459, Valid Accuracy: 0.5968
Epoch [18/200], Train Loss: 0.5756, Train Accuracy: 0.7321, Valid Loss: 0.6568, Valid Accuracy: 0.6290
Epoch [19/200], Train Loss: 0.5689, Train Accuracy: 0.7628, Valid Loss: 0.6349, Valid Accuracy: 0.6290
Epoch [20/200], Train Loss: 0.5641, Train Accuracy: 0.7679, Valid Loss: 0.6532, Valid Accuracy: 0.6290
Epoch [21/200], Train Loss: 0.5609, Train Accuracy: 0.7577, Valid Loss: 0.6374, Valid Accuracy: 0.6290
Epoch [22/200], Train Loss: 0.5544, Train Accuracy: 0.7602, Valid Loss: 0.6288, Valid Accuracy: 0.6290
Epoch [23/200], Train Loss: 0.5538, Train Accuracy: 0.7628, Valid Loss: 0.6205, Valid Accuracy: 0.6452
Epoch [24/200], Train Loss: 0.5518, Train Accuracy: 0.7730, Valid Loss: 0.6467, Valid Accuracy: 0.6290
Epoch [25/200], Train Loss: 0.5453, Train Accuracy: 0.7781, Valid Loss: 0.6457, Valid Accuracy: 0.6452
Epoch [26/200], Train Loss: 0.5401, Train Accuracy: 0.7679, Valid Loss: 0.6107, Valid Accuracy: 0.6935
Epoch [27/200], Train Loss: 0.5360, Train Accuracy: 0.7985, Valid Loss: 0.6340, Valid Accuracy: 0.6452
Epoch [28/200], Train Loss: 0.5316, Train Accuracy: 0.7959, Valid Loss: 0.6316, Valid Accuracy: 0.6613
Epoch [29/200], Train Loss: 0.5309, Train Accuracy: 0.7908, Valid Loss: 0.6050, Valid Accuracy: 0.6774
Epoch [30/200], Train Loss: 0.5237, Train Accuracy: 0.8036, Valid Loss: 0.6214, Valid Accuracy: 0.6774
Epoch [31/200], Train Loss: 0.5227, Train Accuracy: 0.7985, Valid Loss: 0.5990, Valid Accuracy: 0.6774
Epoch [32/200], Train Loss: 0.5205, Train Accuracy: 0.8010, Valid Loss: 0.6205, Valid Accuracy: 0.6774
Epoch [33/200], Train Loss: 0.5156, Train Accuracy: 0.8087, Valid Loss: 0.5893, Valid Accuracy: 0.7097
Epoch [34/200], Train Loss: 0.5127, Train Accuracy: 0.8189, Valid Loss: 0.6037, Valid Accuracy: 0.6935
Epoch [35/200], Train Loss: 0.5089, Train Accuracy: 0.8240, Valid Loss: 0.6023, Valid Accuracy: 0.6935
Epoch [36/200], Train Loss: 0.5047, Train Accuracy: 0.8163, Valid Loss: 0.6032, Valid Accuracy: 0.6935
Epoch [37/200], Train Loss: 0.5021, Train Accuracy: 0.8138, Valid Loss: 0.6088, Valid Accuracy: 0.6935
Epoch [38/200], Train Loss: 0.4969, Train Accuracy: 0.8189, Valid Loss: 0.5989, Valid Accuracy: 0.7258
Epoch [39/200], Train Loss: 0.4937, Train Accuracy: 0.8163, Valid Loss: 0.6029, Valid Accuracy: 0.6935
Epoch [40/200], Train Loss: 0.4906, Train Accuracy: 0.8189, Valid Loss: 0.6084, Valid Accuracy: 0.6935
Epoch [41/200], Train Loss: 0.4888, Train Accuracy: 0.8342, Valid Loss: 0.5772, Valid Accuracy: 0.7419
Epoch [42/200], Train Loss: 0.4852, Train Accuracy: 0.8189, Valid Loss: 0.5919, Valid Accuracy: 0.7258
Epoch [43/200], Train Loss: 0.4798, Train Accuracy: 0.8214, Valid Loss: 0.5808, Valid Accuracy: 0.7419
Epoch [44/200], Train Loss: 0.4783, Train Accuracy: 0.8189, Valid Loss: 0.5903, Valid Accuracy: 0.7258
Epoch [45/200], Train Loss: 0.4735, Train Accuracy: 0.8265, Valid Loss: 0.5861, Valid Accuracy: 0.7419
Epoch [46/200], Train Loss: 0.4736, Train Accuracy: 0.8367, Valid Loss: 0.5934, Valid Accuracy: 0.6935
Epoch [47/200], Train Loss: 0.4680, Train Accuracy: 0.8342, Valid Loss: 0.5936, Valid Accuracy: 0.6935
Epoch [48/200], Train Loss: 0.4665, Train Accuracy: 0.8393, Valid Loss: 0.5623, Valid Accuracy: 0.7742
Epoch [49/200], Train Loss: 0.4628, Train Accuracy: 0.8418, Valid Loss: 0.5824, Valid Accuracy: 0.7258
Epoch [50/200], Train Loss: 0.4601, Train Accuracy: 0.8316, Valid Loss: 0.5691, Valid Accuracy: 0.7581
Epoch [51/200], Train Loss: 0.4583, Train Accuracy: 0.8342, Valid Loss: 0.5641, Valid Accuracy: 0.7742
Epoch [52/200], Train Loss: 0.4515, Train Accuracy: 0.8418, Valid Loss: 0.5801, Valid Accuracy: 0.7258
Epoch [53/200], Train Loss: 0.4492, Train Accuracy: 0.8342, Valid Loss: 0.5630, Valid Accuracy: 0.7581
Epoch [54/200], Train Loss: 0.4462, Train Accuracy: 0.8418, Valid Loss: 0.5791, Valid Accuracy: 0.7258
Epoch [55/200], Train Loss: 0.4498, Train Accuracy: 0.8469, Valid Loss: 0.5774, Valid Accuracy: 0.7258
Epoch [56/200], Train Loss: 0.4444, Train Accuracy: 0.8444, Valid Loss: 0.5607, Valid Accuracy: 0.7581
Epoch [57/200], Train Loss: 0.4412, Train Accuracy: 0.8495, Valid Loss: 0.5676, Valid Accuracy: 0.7581
Epoch [58/200], Train Loss: 0.4342, Train Accuracy: 0.8571, Valid Loss: 0.5751, Valid Accuracy: 0.7258
Epoch [59/200], Train Loss: 0.4360, Train Accuracy: 0.8546, Valid Loss: 0.5532, Valid Accuracy: 0.7903
Epoch [60/200], Train Loss: 0.4321, Train Accuracy: 0.8597, Valid Loss: 0.5629, Valid Accuracy: 0.7581
Epoch [61/200], Train Loss: 0.4366, Train Accuracy: 0.8495, Valid Loss: 0.5312, Valid Accuracy: 0.7903
Epoch [62/200], Train Loss: 0.4263, Train Accuracy: 0.8776, Valid Loss: 0.5803, Valid Accuracy: 0.7097
Epoch [63/200], Train Loss: 0.4262, Train Accuracy: 0.8622, Valid Loss: 0.5492, Valid Accuracy: 0.7903
Epoch [64/200], Train Loss: 0.4231, Train Accuracy: 0.8750, Valid Loss: 0.5740, Valid Accuracy: 0.7097
Epoch [65/200], Train Loss: 0.4168, Train Accuracy: 0.8827, Valid Loss: 0.5562, Valid Accuracy: 0.7742
Epoch [66/200], Train Loss: 0.4170, Train Accuracy: 0.8903, Valid Loss: 0.5778, Valid Accuracy: 0.7258
Epoch [67/200], Train Loss: 0.4132, Train Accuracy: 0.8699, Valid Loss: 0.5378, Valid Accuracy: 0.8226
Epoch [68/200], Train Loss: 0.4119, Train Accuracy: 0.9031, Valid Loss: 0.5663, Valid Accuracy: 0.7097
Epoch [69/200], Train Loss: 0.4093, Train Accuracy: 0.8980, Valid Loss: 0.5758, Valid Accuracy: 0.7097
Epoch [70/200], Train Loss: 0.4068, Train Accuracy: 0.8827, Valid Loss: 0.5436, Valid Accuracy: 0.8065
Epoch [71/200], Train Loss: 0.4037, Train Accuracy: 0.9005, Valid Loss: 0.5596, Valid Accuracy: 0.7258
Epoch [72/200], Train Loss: 0.4015, Train Accuracy: 0.9031, Valid Loss: 0.5575, Valid Accuracy: 0.7258
Epoch [73/200], Train Loss: 0.3989, Train Accuracy: 0.9082, Valid Loss: 0.5605, Valid Accuracy: 0.7258
Epoch [74/200], Train Loss: 0.4031, Train Accuracy: 0.8724, Valid Loss: 0.5255, Valid Accuracy: 0.8065
Epoch [75/200], Train Loss: 0.3951, Train Accuracy: 0.9005, Valid Loss: 0.5464, Valid Accuracy: 0.7742
Epoch [76/200], Train Loss: 0.3913, Train Accuracy: 0.8776, Valid Loss: 0.5357, Valid Accuracy: 0.8226
Epoch [77/200], Train Loss: 0.3913, Train Accuracy: 0.9107, Valid Loss: 0.5549, Valid Accuracy: 0.7419
Epoch [78/200], Train Loss: 0.3850, Train Accuracy: 0.9107, Valid Loss: 0.5445, Valid Accuracy: 0.7581
Epoch [79/200], Train Loss: 0.3863, Train Accuracy: 0.9133, Valid Loss: 0.5613, Valid Accuracy: 0.7419
Epoch [80/200], Train Loss: 0.3845, Train Accuracy: 0.9184, Valid Loss: 0.5462, Valid Accuracy: 0.7419
Epoch [81/200], Train Loss: 0.3816, Train Accuracy: 0.8776, Valid Loss: 0.5239, Valid Accuracy: 0.8065
Epoch [82/200], Train Loss: 0.3815, Train Accuracy: 0.9184, Valid Loss: 0.5431, Valid Accuracy: 0.7419
Epoch [83/200], Train Loss: 0.3761, Train Accuracy: 0.9158, Valid Loss: 0.5461, Valid Accuracy: 0.7419
Epoch [84/200], Train Loss: 0.3736, Train Accuracy: 0.9133, Valid Loss: 0.5317, Valid Accuracy: 0.8226
