Step,Training Loss
1,3.8777
2,3.9408
3,3.8991
4,3.9090
5,3.8635
6,3.8590
7,3.7594
8,3.7219
9,3.6063
10,3.4490
11,3.3228
12,3.1606
13,2.9892
14,2.7769
15,2.6409
16,2.4832
17,2.3730
18,2.2729
19,2.1619
20,2.0633
21,1.9513
22,1.8508
23,1.7505
24,1.6357
25,1.5284
26,1.4359
27,1.3435
28,1.2551
29,1.1638
30,1.0820
31,0.9782
32,0.8843
33,0.7833
34,0.6868
35,0.5874
36,0.4872
37,0.4175
38,0.3505
39,0.3131
40,0.2714
41,0.2488
42,0.2285
43,0.2141
44,0.2004
45,0.1913
46,0.1860
47,0.1797
48,0.1739
49,0.1663
50,0.1641
51,0.1593
52,0.1569
53,0.1563
54,0.1566
55,0.1562
56,0.1560
57,0.1540
58,0.1545
59,0.1536
60,0.1528
61,0.1536
62,0.1516
63,0.1483
64,0.1475
65,0.1459
66,0.1446
67,0.1429
68,0.1418
69,0.1395
70,0.1407
71,0.1381
72,0.1371
73,0.1344
74,0.1335
75,0.1320
76,0.1316
77,0.1295
78,0.1286
79,0.1266
80,0.1252
81,0.1245
82,0.1232
83,0.1207
84,0.1203
85,0.1172
86,0.1161
87,0.1144
88,0.1144
89,0.1134
90,0.1117
91,0.1086
92,0.1063
93,0.1047
94,0.1039
95,0.1024
96,0.1003
97,0.0979
98,0.0968
99,0.0942
100,0.0921
101,0.0910
102,0.0879
103,0.0859
104,0.0822
