Step,Training Loss
1,3.9003
2,3.9333
3,3.9234
4,3.8751
5,3.8974
6,3.8772
7,3.8702
8,3.8785
9,3.8908
10,3.8741
11,3.9081
12,3.8833
13,3.8610
14,3.8324
15,3.8416
16,3.8440
17,3.8229
18,3.8275
19,3.8227
20,3.8093
21,3.7433
22,3.7734
23,3.8001
24,3.7477
25,3.7659
26,3.7351
27,3.7385
28,3.6950
29,3.6671
30,3.6615
31,3.6341
32,3.6137
33,3.6402
34,3.6443
35,3.6026
36,3.5611
37,3.5606
38,3.5232
39,3.5070
40,3.5676
41,3.4431
42,3.4931
43,3.4453
44,3.4451
45,3.4038
46,3.3912
47,3.3551
48,3.3478
49,3.2992
50,3.2922
51,3.2956
52,3.2422
53,3.2531
54,3.2070
55,3.1825
56,3.1791
57,3.1816
58,3.0940
59,3.0976
60,3.0733
61,3.0566
62,3.0275
63,2.9867
64,2.9547
65,2.9154
66,2.8816
67,2.9161
68,2.8448
69,2.7841
70,2.8059
71,2.7902
72,2.7458
73,2.7140
74,2.6839
75,2.6535
76,2.6133
77,2.6349
78,2.5482
79,2.5329
80,2.4788
81,2.4733
82,2.4696
83,2.4194
84,2.4075
85,2.3291
86,2.3733
87,2.3049
88,2.2954
89,2.2175
90,2.2168
91,2.1971
92,2.2022
93,2.1522
94,2.1263
95,2.0688
96,2.1146
97,2.0331
98,2.0163
99,1.9950
100,1.9656
101,1.9154
102,1.9241
103,1.8805
104,1.8351
105,1.8094
106,1.7878
107,1.7535
108,1.7123
109,1.7055
110,1.6626
111,1.6322
112,1.6616
113,1.6254
114,1.5902
115,1.5713
116,1.5121
117,1.5036
118,1.4752
119,1.4810
120,1.4463
121,1.4095
122,1.3934
123,1.3765
124,1.3612
125,1.3362
126,1.3177
127,1.3170
128,1.3017
129,1.2665
130,1.2527
131,1.2122
132,1.2250
133,1.1918
134,1.1967
135,1.1319
136,1.1770
137,1.1280
138,1.1030
139,1.1030
140,1.0899
141,1.0899
142,1.0576
143,1.0457
144,1.0302
145,1.0215
146,0.9965
147,0.9846
148,1.0088
149,0.9909
150,0.9472
151,0.9727
152,0.9455
153,0.9472
154,0.9195
155,0.9169
156,0.9183
157,0.8941
158,0.8926
159,0.8967
160,0.8727
161,0.8620
162,0.8601
163,0.8402
164,0.8494
165,0.8489
166,0.8499
167,0.8460
168,0.8225
169,0.8485
170,0.8370
171,0.8232
172,0.8269
173,0.8210
174,0.8171
175,0.8346
176,0.8184
177,0.8482
178,0.8154
