

Epoch [1/100], Train Loss: 0.8055, Valid Loss: 0.8039
Epoch [2/100], Train Loss: 0.8054, Valid Loss: 0.8039
Epoch [3/100], Train Loss: 0.8054, Valid Loss: 0.8038
Epoch [4/100], Train Loss: 0.8053, Valid Loss: 0.8038
Epoch [5/100], Train Loss: 0.8052, Valid Loss: 0.8037
Epoch [6/100], Train Loss: 0.8052, Valid Loss: 0.8036
Epoch [7/100], Train Loss: 0.8050, Valid Loss: 0.8033
Epoch [8/100], Train Loss: 0.8046, Valid Loss: 0.8026
Epoch [9/100], Train Loss: 0.8035, Valid Loss: 0.8011
Epoch [10/100], Train Loss: 0.8014, Valid Loss: 0.7979
Epoch [11/100], Train Loss: 0.7973, Valid Loss: 0.7925
Epoch [12/100], Train Loss: 0.7909, Valid Loss: 0.7844
Epoch [13/100], Train Loss: 0.7819, Valid Loss: 0.7744
Epoch [14/100], Train Loss: 0.7716, Valid Loss: 0.7636
Epoch [15/100], Train Loss: 0.7618, Valid Loss: 0.7551
Epoch [16/100], Train Loss: 0.7545, Valid Loss: 0.7491
Epoch [17/100], Train Loss: 0.7496, Valid Loss: 0.7450
Epoch [18/100], Train Loss: 0.7458, Valid Loss: 0.7412
Epoch [19/100], Train Loss: 0.7418, Valid Loss: 0.7365
Epoch [20/100], Train Loss: 0.7368, Valid Loss: 0.7305
Epoch [21/100], Train Loss: 0.7314, Valid Loss: 0.7243
Epoch [22/100], Train Loss: 0.7264, Valid Loss: 0.7189
Epoch [23/100], Train Loss: 0.7225, Valid Loss: 0.7147
Epoch [24/100], Train Loss: 0.7193, Valid Loss: 0.7112
Epoch [25/100], Train Loss: 0.7165, Valid Loss: 0.7084
Epoch [26/100], Train Loss: 0.7144, Valid Loss: 0.7063
Epoch [27/100], Train Loss: 0.7124, Valid Loss: 0.7036
Epoch [28/100], Train Loss: 0.7107, Valid Loss: 0.7023
Epoch [29/100], Train Loss: 0.7091, Valid Loss: 0.7000
Epoch [30/100], Train Loss: 0.7080, Valid Loss: 0.6985
Epoch [31/100], Train Loss: 0.7063, Valid Loss: 0.6965
Epoch [32/100], Train Loss: 0.7050, Valid Loss: 0.6950
Epoch [33/100], Train Loss: 0.7038, Valid Loss: 0.6927
Epoch [34/100], Train Loss: 0.7026, Valid Loss: 0.6918
Epoch [35/100], Train Loss: 0.7014, Valid Loss: 0.6899
Epoch [36/100], Train Loss: 0.7004, Valid Loss: 0.6888
Epoch [37/100], Train Loss: 0.6995, Valid Loss: 0.6876
Epoch [38/100], Train Loss: 0.6981, Valid Loss: 0.6856
Epoch [39/100], Train Loss: 0.6972, Valid Loss: 0.6848
Epoch [40/100], Train Loss: 0.6961, Valid Loss: 0.6833
Epoch [41/100], Train Loss: 0.6950, Valid Loss: 0.6816
Epoch [42/100], Train Loss: 0.6941, Valid Loss: 0.6806
Epoch [43/100], Train Loss: 0.6930, Valid Loss: 0.6782
Epoch [44/100], Train Loss: 0.6918, Valid Loss: 0.6775
Epoch [45/100], Train Loss: 0.6902, Valid Loss: 0.6753
Epoch [46/100], Train Loss: 0.6891, Valid Loss: 0.6738
Epoch [47/100], Train Loss: 0.6871, Valid Loss: 0.6712
Epoch [48/100], Train Loss: 0.6854, Valid Loss: 0.6692
Epoch [49/100], Train Loss: 0.6835, Valid Loss: 0.6660
Epoch [50/100], Train Loss: 0.6812, Valid Loss: 0.6627
Epoch [51/100], Train Loss: 0.6782, Valid Loss: 0.6594
Epoch [52/100], Train Loss: 0.6748, Valid Loss: 0.6554
Epoch [53/100], Train Loss: 0.6709, Valid Loss: 0.6496
Epoch [54/100], Train Loss: 0.6660, Valid Loss: 0.6436
Epoch [55/100], Train Loss: 0.6604, Valid Loss: 0.6360
Epoch [56/100], Train Loss: 0.6528, Valid Loss: 0.6239
Epoch [57/100], Train Loss: 0.6437, Valid Loss: 0.6133
Epoch [58/100], Train Loss: 0.6313, Valid Loss: 0.5958
Epoch [59/100], Train Loss: 0.6165, Valid Loss: 0.5760
Epoch [60/100], Train Loss: 0.5999, Valid Loss: 0.5554
Epoch [61/100], Train Loss: 0.5822, Valid Loss: 0.5311
Epoch [62/100], Train Loss: 0.5637, Valid Loss: 0.5106
Epoch [63/100], Train Loss: 0.5471, Valid Loss: 0.4969
Epoch [64/100], Train Loss: 0.5302, Valid Loss: 0.4719
Epoch [65/100], Train Loss: 0.5177, Valid Loss: 0.4634
Epoch [66/100], Train Loss: 0.5066, Valid Loss: 0.4473
Epoch [67/100], Train Loss: 0.4947, Valid Loss: 0.4311
Epoch [68/100], Train Loss: 0.4853, Valid Loss: 0.4200
Epoch [69/100], Train Loss: 0.4779, Valid Loss: 0.4169
Epoch [70/100], Train Loss: 0.4696, Valid Loss: 0.4036
Epoch [71/100], Train Loss: 0.4633, Valid Loss: 0.3947
Epoch [72/100], Train Loss: 0.4572, Valid Loss: 0.3901
Epoch [73/100], Train Loss: 0.4517, Valid Loss: 0.3831
Epoch [74/100], Train Loss: 0.4445, Valid Loss: 0.3755
Epoch [75/100], Train Loss: 0.4402, Valid Loss: 0.3806
Epoch [76/100], Train Loss: 0.4377, Valid Loss: 0.3815
Epoch [77/100], Train Loss: 0.4333, Valid Loss: 0.3625
Epoch [78/100], Train Loss: 0.4279, Valid Loss: 0.3545
Epoch [79/100], Train Loss: 0.4216, Valid Loss: 0.3531
Epoch [80/100], Train Loss: 0.4165, Valid Loss: 0.3464
Epoch [81/100], Train Loss: 0.4131, Valid Loss: 0.3430
Epoch [82/100], Train Loss: 0.4102, Valid Loss: 0.3398
Epoch [83/100], Train Loss: 0.4071, Valid Loss: 0.3343
Epoch [84/100], Train Loss: 0.4010, Valid Loss: 0.3300
Epoch [85/100], Train Loss: 0.3985, Valid Loss: 0.3265
Epoch [86/100], Train Loss: 0.3977, Valid Loss: 0.3236
Epoch [87/100], Train Loss: 0.3917, Valid Loss: 0.3219
Epoch [88/100], Train Loss: 0.3881, Valid Loss: 0.3176
Epoch [89/100], Train Loss: 0.3835, Valid Loss: 0.3143
Epoch [90/100], Train Loss: 0.3793, Valid Loss: 0.3122
Epoch [91/100], Train Loss: 0.3779, Valid Loss: 0.3067
Epoch [92/100], Train Loss: 0.3733, Valid Loss: 0.3032
Epoch [93/100], Train Loss: 0.3718, Valid Loss: 0.3014
Epoch [94/100], Train Loss: 0.3679, Valid Loss: 0.2977
Epoch [95/100], Train Loss: 0.3643, Valid Loss: 0.2943
Epoch [96/100], Train Loss: 0.3616, Valid Loss: 0.2928
Epoch [97/100], Train Loss: 0.3592, Valid Loss: 0.2948
Epoch [98/100], Train Loss: 0.3587, Valid Loss: 0.2861
Epoch [99/100], Train Loss: 0.3539, Valid Loss: 0.2830
Epoch [100/100], Train Loss: 0.3524, Valid Loss: 0.2829
Model saved to /scratch/k/khalvati/liufeli2/LLMs/seg_baseline/saved_model_100epochs.pth






Epoch [1/150], Train Loss: 0.8068, Valid Loss: 0.8052
Epoch [2/150], Train Loss: 0.8067, Valid Loss: 0.8052
Epoch [3/150], Train Loss: 0.8066, Valid Loss: 0.8051
Epoch [4/150], Train Loss: 0.8065, Valid Loss: 0.8049
Epoch [5/150], Train Loss: 0.8063, Valid Loss: 0.8046
Epoch [6/150], Train Loss: 0.8059, Valid Loss: 0.8039
Epoch [7/150], Train Loss: 0.8047, Valid Loss: 0.8021
Epoch [8/150], Train Loss: 0.8021, Valid Loss: 0.7982
Epoch [9/150], Train Loss: 0.7968, Valid Loss: 0.7910
Epoch [10/150], Train Loss: 0.7880, Valid Loss: 0.7799
Epoch [11/150], Train Loss: 0.7760, Valid Loss: 0.7670
Epoch [12/150], Train Loss: 0.7641, Valid Loss: 0.7561
Epoch [13/150], Train Loss: 0.7553, Valid Loss: 0.7497
Epoch [14/150], Train Loss: 0.7504, Valid Loss: 0.7459
Epoch [15/150], Train Loss: 0.7472, Valid Loss: 0.7430
Epoch [16/150], Train Loss: 0.7441, Valid Loss: 0.7394
Epoch [17/150], Train Loss: 0.7402, Valid Loss: 0.7347
Epoch [18/150], Train Loss: 0.7355, Valid Loss: 0.7289
Epoch [19/150], Train Loss: 0.7304, Valid Loss: 0.7231
Epoch [20/150], Train Loss: 0.7258, Valid Loss: 0.7184
Epoch [21/150], Train Loss: 0.7222, Valid Loss: 0.7143
Epoch [22/150], Train Loss: 0.7189, Valid Loss: 0.7104
Epoch [23/150], Train Loss: 0.7163, Valid Loss: 0.7075
Epoch [24/150], Train Loss: 0.7139, Valid Loss: 0.7045
Epoch [25/150], Train Loss: 0.7118, Valid Loss: 0.7022
Epoch [26/150], Train Loss: 0.7100, Valid Loss: 0.7003
Epoch [27/150], Train Loss: 0.7084, Valid Loss: 0.6977
Epoch [28/150], Train Loss: 0.7067, Valid Loss: 0.6965
Epoch [29/150], Train Loss: 0.7053, Valid Loss: 0.6944
Epoch [30/150], Train Loss: 0.7042, Valid Loss: 0.6927
Epoch [31/150], Train Loss: 0.7025, Valid Loss: 0.6908
Epoch [32/150], Train Loss: 0.7012, Valid Loss: 0.6893
Epoch [33/150], Train Loss: 0.7000, Valid Loss: 0.6871
Epoch [34/150], Train Loss: 0.6985, Valid Loss: 0.6858
Epoch [35/150], Train Loss: 0.6971, Valid Loss: 0.6837
Epoch [36/150], Train Loss: 0.6958, Valid Loss: 0.6819
Epoch [37/150], Train Loss: 0.6943, Valid Loss: 0.6804
Epoch [38/150], Train Loss: 0.6925, Valid Loss: 0.6778
Epoch [39/150], Train Loss: 0.6908, Valid Loss: 0.6760
Epoch [40/150], Train Loss: 0.6889, Valid Loss: 0.6728
Epoch [41/150], Train Loss: 0.6866, Valid Loss: 0.6703
Epoch [42/150], Train Loss: 0.6845, Valid Loss: 0.6668
Epoch [43/150], Train Loss: 0.6815, Valid Loss: 0.6625
Epoch [44/150], Train Loss: 0.6781, Valid Loss: 0.6586
Epoch [45/150], Train Loss: 0.6739, Valid Loss: 0.6526
Epoch [46/150], Train Loss: 0.6697, Valid Loss: 0.6466
Epoch [47/150], Train Loss: 0.6635, Valid Loss: 0.6379
Epoch [48/150], Train Loss: 0.6563, Valid Loss: 0.6290
Epoch [49/150], Train Loss: 0.6477, Valid Loss: 0.6167
Epoch [50/150], Train Loss: 0.6374, Valid Loss: 0.6009
Epoch [51/150], Train Loss: 0.6246, Valid Loss: 0.5834
Epoch [52/150], Train Loss: 0.6097, Valid Loss: 0.5652
Epoch [53/150], Train Loss: 0.5941, Valid Loss: 0.5461
Epoch [54/150], Train Loss: 0.5774, Valid Loss: 0.5238
Epoch [55/150], Train Loss: 0.5635, Valid Loss: 0.5083
Epoch [56/150], Train Loss: 0.5481, Valid Loss: 0.4857
Epoch [57/150], Train Loss: 0.5362, Valid Loss: 0.4692
Epoch [58/150], Train Loss: 0.5220, Valid Loss: 0.4577
Epoch [59/150], Train Loss: 0.5116, Valid Loss: 0.4417
Epoch [60/150], Train Loss: 0.5017, Valid Loss: 0.4357
Epoch [61/150], Train Loss: 0.4941, Valid Loss: 0.4210
Epoch [62/150], Train Loss: 0.4882, Valid Loss: 0.4177
Epoch [63/150], Train Loss: 0.4799, Valid Loss: 0.4071
Epoch [64/150], Train Loss: 0.4732, Valid Loss: 0.3963
Epoch [65/150], Train Loss: 0.4686, Valid Loss: 0.4027
Epoch [66/150], Train Loss: 0.4642, Valid Loss: 0.3835
Epoch [67/150], Train Loss: 0.4562, Valid Loss: 0.3767
