Epoch [1/100], Train Loss: 0.8059, Valid Loss: 0.8045
Epoch [2/100], Train Loss: 0.8059, Valid Loss: 0.8042
Epoch [3/100], Train Loss: 0.8063, Valid Loss: 0.8040
Epoch [4/100], Train Loss: 0.8043, Valid Loss: 0.8037
Epoch [5/100], Train Loss: 0.8043, Valid Loss: 0.8030
Epoch [6/100], Train Loss: 0.8023, Valid Loss: 0.8003
Epoch [7/100], Train Loss: 0.7973, Valid Loss: 0.7910
Epoch [8/100], Train Loss: 0.7821, Valid Loss: 0.7696
Epoch [9/100], Train Loss: 0.7578, Valid Loss: 0.7461
Epoch [10/100], Train Loss: 0.7400, Valid Loss: 0.7296
Epoch [11/100], Train Loss: 0.7276, Valid Loss: 0.7159
Epoch [12/100], Train Loss: 0.7178, Valid Loss: 0.7051
Epoch [13/100], Train Loss: 0.7073, Valid Loss: 0.6983
Epoch [14/100], Train Loss: 0.7078, Valid Loss: 0.6921
Epoch [15/100], Train Loss: 0.6951, Valid Loss: 0.6783
Epoch [16/100], Train Loss: 0.6870, Valid Loss: 0.6636
Epoch [17/100], Train Loss: 0.6700, Valid Loss: 0.6304
Epoch [18/100], Train Loss: 0.6421, Valid Loss: 0.5740
Epoch [19/100], Train Loss: 0.5894, Valid Loss: 0.5058
Epoch [20/100], Train Loss: 0.5345, Valid Loss: 0.4447
Epoch [21/100], Train Loss: 0.5063, Valid Loss: 0.4142
Epoch [22/100], Train Loss: 0.4658, Valid Loss: 0.3682
Epoch [23/100], Train Loss: 0.4389, Valid Loss: 0.3724
Epoch [24/100], Train Loss: 0.4342, Valid Loss: 0.3230
Epoch [25/100], Train Loss: 0.4020, Valid Loss: 0.3068
Epoch [26/100], Train Loss: 0.3901, Valid Loss: 0.3125
Epoch [27/100], Train Loss: 0.3769, Valid Loss: 0.2723
Epoch [28/100], Train Loss: 0.3519, Valid Loss: 0.2604
Epoch [29/100], Train Loss: 0.3331, Valid Loss: 0.2572
Epoch [30/100], Train Loss: 0.3587, Valid Loss: 0.2380
Epoch [31/100], Train Loss: 0.3207, Valid Loss: 0.2301
Epoch [32/100], Train Loss: 0.3044, Valid Loss: 0.2246
Epoch [33/100], Train Loss: 0.3038, Valid Loss: 0.2157
Epoch [34/100], Train Loss: 0.2992, Valid Loss: 0.2136
Epoch [35/100], Train Loss: 0.2975, Valid Loss: 0.2112
Epoch [36/100], Train Loss: 0.3034, Valid Loss: 0.2039
Epoch [37/100], Train Loss: 0.2848, Valid Loss: 0.2032
Epoch [38/100], Train Loss: 0.2729, Valid Loss: 0.1967
Epoch [39/100], Train Loss: 0.2736, Valid Loss: 0.2001
Epoch [40/100], Train Loss: 0.2743, Valid Loss: 0.1924
Epoch [41/100], Train Loss: 0.2687, Valid Loss: 0.1924
Epoch [42/100], Train Loss: 0.2660, Valid Loss: 0.1962
Epoch [43/100], Train Loss: 0.2630, Valid Loss: 0.1904
Epoch [44/100], Train Loss: 0.2534, Valid Loss: 0.2118
Epoch [45/100], Train Loss: 0.2572, Valid Loss: 0.1887
Epoch [46/100], Train Loss: 0.2474, Valid Loss: 0.1961
Epoch [47/100], Train Loss: 0.2504, Valid Loss: 0.1855
Epoch [48/100], Train Loss: 0.2369, Valid Loss: 0.1873
Epoch [49/100], Train Loss: 0.2482, Valid Loss: 0.1822
Epoch [50/100], Train Loss: 0.2496, Valid Loss: 0.1916
Epoch [51/100], Train Loss: 0.2468, Valid Loss: 0.2067
Epoch [52/100], Train Loss: 0.2505, Valid Loss: 0.1781
Epoch [53/100], Train Loss: 0.2418, Valid Loss: 0.1810
Epoch [54/100], Train Loss: 0.2403, Valid Loss: 0.1887
Epoch [55/100], Train Loss: 0.2317, Valid Loss: 0.1822
Epoch [56/100], Train Loss: 0.2173, Valid Loss: 0.1894
Epoch [57/100], Train Loss: 0.2287, Valid Loss: 0.1777
Epoch [58/100], Train Loss: 0.2351, Valid Loss: 0.1774
Epoch [59/100], Train Loss: 0.2245, Valid Loss: 0.1994
Epoch [60/100], Train Loss: 0.2336, Valid Loss: 0.2054
Epoch [61/100], Train Loss: 0.2339, Valid Loss: 0.1984
Epoch [62/100], Train Loss: 0.2291, Valid Loss: 0.1718
Epoch [63/100], Train Loss: 0.2204, Valid Loss: 0.1771
Epoch [64/100], Train Loss: 0.2182, Valid Loss: 0.1838
Epoch [65/100], Train Loss: 0.2139, Valid Loss: 0.1840
Epoch [66/100], Train Loss: 0.2168, Valid Loss: 0.1752
Epoch [67/100], Train Loss: 0.2113, Valid Loss: 0.1808
Epoch [68/100], Train Loss: 0.2124, Valid Loss: 0.1725
Epoch [69/100], Train Loss: 0.2206, Valid Loss: 0.2146
Epoch [70/100], Train Loss: 0.2088, Valid Loss: 0.1707
Epoch [71/100], Train Loss: 0.2050, Valid Loss: 0.1720
Epoch [72/100], Train Loss: 0.1988, Valid Loss: 0.1775
Epoch [73/100], Train Loss: 0.1944, Valid Loss: 0.1845
Epoch [74/100], Train Loss: 0.1963, Valid Loss: 0.1731
Epoch [75/100], Train Loss: 0.1956, Valid Loss: 0.1995
Epoch [76/100], Train Loss: 0.2094, Valid Loss: 0.2435
Epoch [77/100], Train Loss: 0.2106, Valid Loss: 0.1771
Epoch [78/100], Train Loss: 0.2031, Valid Loss: 0.1846
Epoch [79/100], Train Loss: 0.1979, Valid Loss: 0.1717
Epoch [80/100], Train Loss: 0.2015, Valid Loss: 0.1688
Epoch [81/100], Train Loss: 0.1928, Valid Loss: 0.1703
Epoch [82/100], Train Loss: 0.1901, Valid Loss: 0.1692
Epoch [83/100], Train Loss: 0.1857, Valid Loss: 0.1690
Epoch [84/100], Train Loss: 0.1920, Valid Loss: 0.1683
Epoch [85/100], Train Loss: 0.1875, Valid Loss: 0.1684
Epoch [86/100], Train Loss: 0.1835, Valid Loss: 0.1748
Epoch [87/100], Train Loss: 0.1942, Valid Loss: 0.1659
Epoch [88/100], Train Loss: 0.1886, Valid Loss: 0.1693
Epoch [89/100], Train Loss: 0.1854, Valid Loss: 0.1680
Epoch [90/100], Train Loss: 0.1949, Valid Loss: 0.1807
Epoch [91/100], Train Loss: 0.1929, Valid Loss: 0.1640
Epoch [92/100], Train Loss: 0.1833, Valid Loss: 0.1676
Epoch [93/100], Train Loss: 0.1798, Valid Loss: 0.1841
Epoch [94/100], Train Loss: 0.1829, Valid Loss: 0.1730
Epoch [95/100], Train Loss: 0.1791, Valid Loss: 0.1629
Epoch [96/100], Train Loss: 0.1928, Valid Loss: 0.1653
Epoch [97/100], Train Loss: 0.1960, Valid Loss: 0.1863
Epoch [98/100], Train Loss: 0.1938, Valid Loss: 0.1579
Epoch [99/100], Train Loss: 0.1804, Valid Loss: 0.1566
Epoch [100/100], Train Loss: 0.1962, Valid Loss: 0.1626
