Step,Training Loss
2,3.8606
4,3.8380
6,3.8217
8,3.7896
10,3.7164
12,3.6687
14,3.5769
16,3.4817
18,3.4114
20,3.3155
22,3.2440
24,3.1757
26,3.0799
28,3.0079
30,2.9667
32,2.8871
34,2.8406
36,2.7891
38,2.7338
40,2.7026
42,2.6530
44,2.6096
46,2.5674
48,2.5118
50,2.4736
52,2.4468
54,2.3821
56,2.3515
58,2.3044
60,2.2512
62,2.2099
64,2.1776
66,2.1263
68,2.0817
70,2.0469
72,1.9946
74,1.9593
76,1.9176
78,1.8762
80,1.8296
82,1.7992
84,1.7612
86,1.7221
88,1.6751
90,1.6317
92,1.6012
94,1.5535
96,1.5222
98,1.4833
100,1.4470
102,1.4150
104,1.3612
106,1.3348
108,1.3046
110,1.2623
112,1.2390
114,1.2021
116,1.1562
118,1.1256
120,1.0962
122,1.0593
124,1.0267
126,0.9986
128,0.9562
130,0.9366
132,0.9021
134,0.8757
136,0.8474
138,0.8219
140,0.7867
142,0.7645
144,0.7425
146,0.7240
148,0.6892
150,0.6604
152,0.6416
154,0.6273
156,0.5911
158,0.5800
160,0.5767
162,0.5429
164,0.5286
166,0.5200
168,0.4932
170,0.4810
172,0.4695
174,0.4621
176,0.4495
178,0.4347
180,0.4366
182,0.4184
184,0.4140
186,0.4002
188,0.3883
190,0.3833
192,0.3774
194,0.3753
196,0.3706
198,0.3727
200,0.3716
