Step,Training Loss
1,3.7587
2,3.7521
3,3.7020
4,3.6327
5,3.5193
6,3.3816
7,3.1983
8,3.0228
9,2.8317
10,2.6643
11,2.4996
12,2.3250
13,2.1651
14,1.9989
15,1.8675
16,1.7415
17,1.6458
18,1.5342
19,1.4487
20,1.3620
21,1.2783
22,1.2132
23,1.1445
24,1.0932
25,1.0440
26,0.9774
27,0.9414
28,0.8955
29,0.8457
30,0.7962
31,0.7593
32,0.7155
33,0.6774
34,0.6474
35,0.6102
36,0.5772
37,0.5553
38,0.5349
39,0.5229
40,0.5076
41,0.4917
42,0.4803
43,0.4734
44,0.4620
45,0.4560
46,0.4560
47,0.4434
48,0.4398
49,0.4308
50,0.4290
51,0.4275
52,0.4260
53,0.4221
54,0.4221
55,0.4155
56,0.4197
57,0.4110
58,0.4080
59,0.4092
60,0.4074
61,0.4092
62,0.4038
63,0.4038
64,0.4047
65,0.4032
66,0.4071
67,0.4023
68,0.3999
69,0.3990
70,0.4050
71,0.4017
72,0.4014
73,0.4038
74,0.4020
75,0.3999
76,0.3969
77,0.4008
78,0.3975
79,0.3972
80,0.3975
81,0.3978
82,0.3987
83,0.3945
84,0.3936
85,0.3978
86,0.3921
87,0.3936
88,0.3948
89,0.3930
90,0.3918
91,0.3969
92,0.3945
93,0.3948
94,0.3948
95,0.3939
96,0.3927
97,0.3894
98,0.3933
99,0.3978
100,0.3945
