Step,Training Loss
1,3.3038
2,3.2565
3,3.3319
4,3.2871
5,3.2692
6,3.1982
7,3.1896
8,3.1901
9,3.1673
10,3.1551
11,3.0895
12,3.0572
13,3.0364
14,2.9872
15,2.8561
16,2.8259
17,2.7983
18,2.7149
19,2.6786
20,2.6677
21,2.5488
22,2.4750
23,2.4726
24,2.4073
25,2.3729
26,2.3604
27,2.3161
28,2.2953
29,2.2570
30,2.1816
31,2.1885
32,2.1488
33,2.1163
34,2.0707
35,2.0746
36,2.0432
37,2.0092
38,1.9600
39,1.9358
40,1.8848
41,1.8739
42,1.8454
43,1.7983
44,1.7835
45,1.7452
46,1.7068
47,1.7250
48,1.6639
49,1.6409
50,1.6154
51,1.5832
52,1.5550
53,1.5254
54,1.4987
55,1.4614
56,1.4135
57,1.3948
58,1.3821
59,1.3432
60,1.3092
61,1.2969
62,1.2584
63,1.2194
64,1.1967
65,1.1740
66,1.1349
67,1.1208
68,1.0974
69,1.0530
70,1.0296
71,0.9898
72,0.9834
73,0.9696
74,0.9181
75,0.8933
76,0.8656
77,0.8603
78,0.8349
79,0.8101
80,0.7912
81,0.7643
82,0.7175
83,0.7062
84,0.6896
85,0.6794
86,0.6529
87,0.6532
88,0.6276
89,0.6061
90,0.5871
91,0.5532
92,0.5355
93,0.5498
94,0.5311
95,0.5140
96,0.4949
97,0.4887
98,0.4870
99,0.4785
100,0.4718
101,0.4680
102,0.4636
103,0.4268
104,0.4411
105,0.4320
106,0.4432
107,0.4481
108,0.4117
109,0.4376
110,0.4114
111,0.4174
112,0.4151
113,0.4055
114,0.4336
115,0.4107
116,0.3902
117,0.4102
118,0.3861
119,0.3923
120,0.4013
121,0.3860
122,0.3852
123,0.3980
124,0.3798
125,0.3795
126,0.3826
127,0.3876
128,0.3709
129,0.3681
130,0.3868
131,0.3724
132,0.3830
133,0.4031
134,0.3851
135,0.3842
136,0.3797
137,0.3692
138,0.3919
139,0.3891
140,0.3693
141,0.3738
142,0.3917
143,0.3902
144,0.3786
145,0.3968
146,0.3660
147,0.3546
148,0.3692
149,0.3677
150,0.3860
